bus_row,bus_id,compact_bus_name,base_kv,compact_physical_zone,paper_allocation_zone,paper_identity_found,original_46_NPCC_NY_bus,parent_gross_pd_mw,parent_gross_qd_mvar,zone_roles_differ,zone_policy
39,75,RAMAPO      ,138,G,G,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
40,76,RAMAPO      ,345,G,G,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
41,77,BUCHANAN    ,345,H,G,1,1,0,0,1,separate_allocation_and_physical_roles_neither_relabelled
42,78,CE UG       ,345,I,I,1,1,2311.83906,600,0,separate_allocation_and_physical_roles_neither_relabelled
43,79,RAV A-3     ,22,J,K,1,1,0,0,1,separate_allocation_and_physical_roles_neither_relabelled
44,80,NORTHPORT   ,138,K,K,1,1,809.143671,25,0,separate_allocation_and_physical_roles_neither_relabelled
45,81,GOETHALS    ,345,J,J,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
46,82,AK-3        ,22,J,J,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
47,9001,KNICKERBOCKER,345,G,not_in_released_NPCC_allocation,0,0,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
48,9002,WOOD STREET,345,G,not_in_released_NPCC_allocation,0,0,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
49,9003,EAST GARDEN CITY,345,K,not_in_released_NPCC_allocation,0,0,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
50,858,E. FISHKILL,345,G,not_in_released_NPCC_allocation,0,0,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
51,774,LADENTOWN,345,G,not_in_released_NPCC_allocation,0,0,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
