ny_branch_row,full_branch_row,branch_key,source_branch_row,source_device_key,source_from_bus,source_to_bus,from_bus,to_bus,electrical_role,source_device_role,r_pu,x_pu,b_pu,tap,shift_degree,status,online,base_mva,from_base_kv,to_base_kv,from_vm_pu,to_vm_pu,from_solved_line_line_kv,to_solved_line_line_kv,rate_a_mva,rate_b_mva,rate_c_mva,from_apparent_power_mva,to_apparent_power_mva,from_terminal_rms_amp,to_terminal_rms_amp,power_flow_audit_passed,thermal_eligible,dlr_eligible,current_interpretation,rate_a_applies_both_terminals,from_loading_percent,to_loading_percent,current_formula,rating_interpretation
23,55,NPCC_S7:BRANCH_ROW:55,NaN,,NaN,NaN,50,52,inherited_NPCC_or_S7_equivalent,,0.002,0.022,1.28,0,0,1,1,100,345,345,1.06623455185936,1.01337858932902,367.85092039148,349.615613318511,2858.06690137886,2858.06690137886,2858.06690137886,2228.3877598668,2121.27465190277,3497.50456420976,3503.04289810259,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,77.9683554220413,74.2206087226079,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
24,56,NPCC_S7:BRANCH_ROW:56,NaN,,NaN,NaN,51,53,inherited_NPCC_or_S7_equivalent,,0.0844,0.2161,0.22,0,0,1,1,100,115,115,1.03491687293431,1.07017289324321,119.015440387445,123.06988272297,290.964700741948,290.964700741948,290.964700741948,290.964703564721,290.96468922007,1411.48534493422,1364.98498193929,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,100.000000970143,99.9999960401113,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
25,57,NPCC_S7:BRANCH_ROW:57,NaN,,NaN,NaN,51,72,inherited_NPCC_or_S7_equivalent,,0.0051,0.0232,0.3,0,0,1,1,100,115,115,1.03491687293431,1.05654050327307,119.015440387445,121.502157876403,2500,0,0,573.18426872922,586.872629200303,2780.54755558408,2788.68356225814,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,22.9273707491688,23.4749051680121,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
26,58,NPCC_S7:BRANCH_ROW:58,NaN,,NaN,NaN,52,53,inherited_transformer_or_machine_connection_equivalent,,0.0014,0.0388,0,0,0,1,1,100,345,115,1.01337858932902,1.07017289324321,349.615613318511,123.06988272297,2500,0,0,684.197141714605,722.542633530741,1129.87346359678,3389.62039079035,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,27.3678856685842,28.9017053412296,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
27,59,NPCC_S7:BRANCH_ROW:59,NaN,,NaN,NaN,53,55,inherited_transformer_or_machine_connection_equivalent,,0.03,0.107,0.3,0,0,1,1,100,115,230,1.07017289324321,1.09999994671738,123.06988272297,252.999987744998,997.983883346124,997.983883346124,997.983883346124,167.92030955137,156.961795658623,787.754353679858,358.189483658521,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,16.825954041297,15.7278888244516,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
28,60,NPCC_S7:BRANCH_ROW:60,NaN,,NaN,NaN,53,65,inherited_NPCC_or_S7_equivalent,,0.035,0.08,0.05,0,0,1,1,100,115,115,1.07017289324321,1.09163240882526,123.06988272297,125.537727014905,785.968397879188,785.968397879188,785.968397879188,37.7456950239661,36.2698279951338,177.074087507593,166.805592664313,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,4.80244436364323,4.61466747174597,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
29,61,NPCC_S7:BRANCH_ROW:61,NaN,,NaN,NaN,54,56,inherited_NPCC_or_S7_equivalent,,0.01,0.008,0.07,0,0,1,1,100,230,230,1.09999999826913,1.07698542321737,252.999999601899,247.706647339995,789.941803,0,0,317.01099914208,308.583382371769,723.424450508887,719.240685677878,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,40.1309309037897,39.0640653779617,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
30,62,NPCC_S7:BRANCH_ROW:62,NaN,,NaN,NaN,54,62,inherited_NPCC_or_S7_equivalent,,0.008,0.069,0.13,0,0,1,1,100,230,230,1.09999999826913,1.03605763285241,252.999999601899,238.293255556053,789.941803,0,0,99.5183828197208,106.776024081004,227.102629251746,258.702941895325,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,12.5981917201717,13.5169481695354,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
31,65,NPCC_S7:BRANCH_ROW:65,NaN,,NaN,NaN,55,57,inherited_transformer_or_machine_connection_equivalent,,0.0074,0.04,0.02,0,0,1,1,100,230,115,1.09999994671738,1.08783281071547,252.999987744998,125.100773232279,789.941803,0,0,175.544206954096,173.61585506594,400.594861853428,801.251327773917,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,22.2224227515778,21.9783095927561,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
32,66,NPCC_S7:BRANCH_ROW:66,NaN,,NaN,NaN,55,59,inherited_transformer_or_machine_connection_equivalent,,0.016,0.0817,0.04,0,0,1,1,100,230,115,1.09999994671738,1.04321990561693,252.999987744998,119.970289145947,789.941803,0,0,109.903851624755,106.556542068714,250.802456103216,512.797365791512,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,13.9129048756969,13.4891635895251,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
33,67,NPCC_S7:BRANCH_ROW:67,NaN,,NaN,NaN,56,58,inherited_NPCC_or_S7_equivalent,,0.002,0.015,0.11,0,0,1,1,100,230,230,1.07698542321737,1.05027352245044,247.706647339995,241.5629101636,2500,0,0,512.230515772242,502.522562773763,1193.89781963471,1201.05995036572,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,20.4892206308897,20.1009025109505,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
34,68,NPCC_S7:BRANCH_ROW:68,NaN,,NaN,NaN,57,59,inherited_NPCC_or_S7_equivalent,,0.014,0.068,0.03,0,0,1,1,100,115,115,1.08783281071547,1.04321990561693,125.100773232279,119.970289145947,2500,0,0,68.1651883450853,68.6407540167981,314.587902405082,330.329768237589,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.72660753380341,2.74563016067192,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
35,69,NPCC_S7:BRANCH_ROW:69,NaN,,NaN,NaN,58,60,inherited_NPCC_or_S7_equivalent,,0.0035,0.0344,0.27,0,0,1,1,100,230,230,1.05027352245044,1.0986023814734,241.5629101636,252.678547738883,2500,0,0,182.055906105247,161.22702031135,435.124855575878,368.390844455827,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,7.28223624420987,6.44908081245399,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
36,70,NPCC_S7:BRANCH_ROW:70,NaN,,NaN,NaN,58,62,inherited_NPCC_or_S7_equivalent,,0.002,0.018,0.03,0,0,1,1,100,230,230,1.05027352245044,1.03605763285241,241.5629101636,238.293255556053,2500,0,0,429.041449461718,424.20383137365,1025.43555288545,1027.78484293794,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,17.1616579784687,16.968153254946,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
37,71,NPCC_S7:BRANCH_ROW:71,NaN,,NaN,NaN,59,61,inherited_NPCC_or_S7_equivalent,,0.068,0.143,0.06,0,0,1,1,100,115,115,1.04321990561693,1.05432545061322,119.970289145947,121.24742682052,2500,0,0,26.9257221869504,22.729812358093,129.578523678052,108.233746708707,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,1.07702888747801,0.909192494323721,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
38,73,NPCC_S7:BRANCH_ROW:73,NaN,,NaN,NaN,62,63,inherited_NPCC_or_S7_equivalent,,0.0129,0.0803,0.15,0,0,1,1,100,230,230,1.03605763285241,0.962625096901676,238.293255556053,221.403772287385,620,620,620,422.342060709817,397.740271063676,1023.27404051751,1037.17949425043,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,68.1196872112608,64.1516566231736,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
39,74,NPCC_S7:BRANCH_ROW:74,NaN,,NaN,NaN,63,64,inherited_transformer_or_machine_connection_equivalent,,0,0.046,0,0,0,1,1,100,230,115,0.962625096901676,0.992650905939369,221.403772287385,114.154854183027,2500,0,0,146.390460822213,150.956612313313,381.739529951602,763.479059903204,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,5.85561843288852,6.03826449253251,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
40,75,NPCC_S7:BRANCH_ROW:75,NaN,,NaN,NaN,63,67,inherited_NPCC_or_S7_equivalent,,0.012,0.093,0.18,0,0,1,1,100,230,230,0.962625096901676,1.01991138297488,221.403772287385,234.579618084223,2500,0,0,542.383602524376,574.952879563267,1414.36306927517,1415.08116731617,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,21.695344100975,22.9981151825307,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
41,76,NPCC_S7:BRANCH_ROW:76,NaN,,NaN,NaN,64,65,inherited_NPCC_or_S7_equivalent,,0.035,0.08,0.05,0,0,1,1,100,115,115,0.992650905939369,1.09163240882526,114.154854183027,125.537727014905,2500,0,0,228.695403086276,246.942741344142,1156.65123028928,1135.6941182513,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,9.14781612345105,9.87770965376567,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
42,77,NPCC_S7:BRANCH_ROW:77,NaN,,NaN,NaN,64,68,inherited_NPCC_or_S7_equivalent,,0.0988,0.231,0.13,0,0,1,1,100,115,115,0.992650905939369,1.09999999132063,114.154854183027,126.499999001872,2500,0,0,197.595794917351,221.67435855294,999.361667120698,1011.72926160326,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,7.90383179669402,8.8669743421176,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
43,78,NPCC_S7:BRANCH_ROW:78,NaN,,NaN,NaN,66,67,inherited_transformer_or_machine_connection_equivalent,,0,0.0231,0,0,0,1,1,100,345,230,1.02968479694575,1.01991138297488,355.241254946285,234.579618084223,2500,0,0,778.678658517092,771.287708487972,1265.53525765198,1898.30288647797,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,31.1471463406837,30.8515083395189,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
44,79,NPCC_S7:BRANCH_ROW:79,NaN,,NaN,NaN,66,69,inherited_NPCC_or_S7_equivalent,,0.0018,0.0274,0.27,0,0,1,1,100,345,345,1.02968479694575,1.04535656716838,355.241254946285,360.648015673092,2500,0,0,73.11954279094,44.9605699059386,118.836388301114,71.9759876944455,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.9247817116376,1.79842279623754,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
45,81,NPCC_S7:BRANCH_ROW:81,NaN,,NaN,NaN,67,68,inherited_transformer_or_machine_connection_equivalent,,0,0.049,0,0,0,1,1,100,230,115,1.01991138297488,1.09999999132063,234.579618084223,126.499999001872,2500,0,0,322.024330413174,347.311312112542,792.570281118383,1585.14056223677,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,12.880973216527,13.8924524845017,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
