parent_branch_row,from_bus,to_bus,parent_status,candidate_status,disposition,replacement_source_rows,residual_added,dlr_eligible
53,47,48,1,1,retained_NPCC_benchmark_equivalent,,0,0
54,50,51,1,1,retained_NPCC_benchmark_equivalent,,0,0
55,50,52,1,1,retained_NPCC_benchmark_equivalent,,0,0
56,51,53,1,1,retained_NPCC_benchmark_equivalent,,0,0
57,51,72,1,1,retained_NPCC_benchmark_equivalent,,0,0
58,52,53,1,1,retained_NPCC_benchmark_equivalent,,0,0
59,53,55,1,1,retained_NPCC_benchmark_equivalent,,0,0
60,53,65,1,1,retained_NPCC_benchmark_equivalent,,0,0
61,54,56,1,1,retained_NPCC_benchmark_equivalent,,0,0
62,54,62,1,1,retained_NPCC_benchmark_equivalent,,0,0
63,54,102,1,1,retained_NPCC_benchmark_equivalent,,0,0
64,54,103,1,1,retained_NPCC_benchmark_equivalent,,0,0
65,55,57,1,1,retained_NPCC_benchmark_equivalent,,0,0
66,55,59,1,1,retained_NPCC_benchmark_equivalent,,0,0
67,56,58,1,1,retained_NPCC_benchmark_equivalent,,0,0
68,57,59,1,1,retained_NPCC_benchmark_equivalent,,0,0
69,58,60,1,1,retained_NPCC_benchmark_equivalent,,0,0
70,58,62,1,1,retained_NPCC_benchmark_equivalent,,0,0
71,59,61,1,1,retained_NPCC_benchmark_equivalent,,0,0
72,60,140,1,1,retained_NPCC_benchmark_equivalent,,0,0
73,62,63,1,1,retained_NPCC_benchmark_equivalent,,0,0
74,63,64,1,1,retained_NPCC_benchmark_equivalent,,0,0
75,63,67,1,1,retained_NPCC_benchmark_equivalent,,0,0
76,64,65,1,1,retained_NPCC_benchmark_equivalent,,0,0
77,64,68,1,1,retained_NPCC_benchmark_equivalent,,0,0
78,66,67,1,1,retained_NPCC_benchmark_equivalent,,0,0
79,66,69,1,1,retained_NPCC_benchmark_equivalent,,0,0
80,66,134,1,1,retained_NPCC_benchmark_equivalent,,0,0
81,67,68,1,1,retained_NPCC_benchmark_equivalent,,0,0
82,67,70,1,1,retained_NPCC_benchmark_equivalent,,0,0
83,67,138,1,1,retained_NPCC_benchmark_equivalent,,0,0
84,68,71,1,1,retained_NPCC_benchmark_equivalent,,0,0
85,69,71,1,1,retained_NPCC_benchmark_equivalent,,0,0
86,70,71,1,1,retained_NPCC_benchmark_equivalent,,0,0
87,71,72,1,1,retained_NPCC_benchmark_equivalent,,0,0
88,73,74,1,0,retired_complete_corridor_function_assumed_response_change,1389;1390;1391;1392;1689;1690;1734;1735,0,0
89,73,74,1,0,retired_complete_corridor_function_assumed_response_change,1389;1390;1391;1392;1689;1690;1734;1735,0,0
90,74,77,1,1,retained_NPCC_benchmark_equivalent,,0,0
91,74,78,1,1,retained_NPCC_benchmark_equivalent,,0,0
92,74,78,1,1,retained_NPCC_benchmark_equivalent,,0,0
93,75,124,1,1,retained_NPCC_benchmark_equivalent,,0,0
94,76,77,1,0,retired_complete_corridor_function_assumed_response_change,1577;1576;1738,0,0
95,78,79,1,1,retained_NPCC_benchmark_equivalent,,0,0
96,78,80,1,1,retained_NPCC_benchmark_equivalent,,0,0
97,78,81,1,1,retained_NPCC_benchmark_equivalent,,0,0
98,78,82,1,1,retained_NPCC_benchmark_equivalent,,0,0
99,81,125,1,1,retained_NPCC_benchmark_equivalent,,0,0
100,83,112,1,1,retained_NPCC_benchmark_equivalent,,0,0
101,83,113,1,1,retained_NPCC_benchmark_equivalent,,0,0
102,84,116,1,1,retained_NPCC_benchmark_equivalent,,0,0
103,85,88,1,1,retained_NPCC_benchmark_equivalent,,0,0
104,85,88,1,1,retained_NPCC_benchmark_equivalent,,0,0
105,85,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
106,85,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
107,85,112,1,1,retained_NPCC_benchmark_equivalent,,0,0
108,85,112,1,1,retained_NPCC_benchmark_equivalent,,0,0
109,87,115,1,1,retained_NPCC_benchmark_equivalent,,0,0
110,88,89,1,1,retained_NPCC_benchmark_equivalent,,0,0
111,88,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
112,88,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
113,89,90,1,1,retained_NPCC_benchmark_equivalent,,0,0
114,89,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
115,89,113,1,1,retained_NPCC_benchmark_equivalent,,0,0
116,90,114,1,1,retained_NPCC_benchmark_equivalent,,0,0
117,91,92,1,1,retained_NPCC_benchmark_equivalent,,0,0
118,91,93,1,1,retained_NPCC_benchmark_equivalent,,0,0
119,91,95,1,1,retained_NPCC_benchmark_equivalent,,0,0
120,91,98,1,1,retained_NPCC_benchmark_equivalent,,0,0
121,91,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
122,92,97,1,1,retained_NPCC_benchmark_equivalent,,0,0
123,93,94,1,1,retained_NPCC_benchmark_equivalent,,0,0
124,93,95,1,1,retained_NPCC_benchmark_equivalent,,0,0
125,94,111,1,1,retained_NPCC_benchmark_equivalent,,0,0
126,95,96,1,1,retained_NPCC_benchmark_equivalent,,0,0
127,96,97,1,1,retained_NPCC_benchmark_equivalent,,0,0
128,98,99,1,1,retained_NPCC_benchmark_equivalent,,0,0
129,99,100,1,1,retained_NPCC_benchmark_equivalent,,0,0
130,101,104,1,1,retained_NPCC_benchmark_equivalent,,0,0
131,101,105,1,1,retained_NPCC_benchmark_equivalent,,0,0
132,101,107,1,1,retained_NPCC_benchmark_equivalent,,0,0
133,101,108,1,1,retained_NPCC_benchmark_equivalent,,0,0
134,101,109,1,1,retained_NPCC_benchmark_equivalent,,0,0
135,101,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
136,104,106,1,1,retained_NPCC_benchmark_equivalent,,0,0
137,104,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
138,105,106,1,1,retained_NPCC_benchmark_equivalent,,0,0
139,105,107,1,1,retained_NPCC_benchmark_equivalent,,0,0
140,105,111,1,1,retained_NPCC_benchmark_equivalent,,0,0
141,105,112,1,1,retained_NPCC_benchmark_equivalent,,0,0
142,105,113,1,1,retained_NPCC_benchmark_equivalent,,0,0
143,107,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
144,108,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
145,108,111,1,1,retained_NPCC_benchmark_equivalent,,0,0
146,109,110,1,1,retained_NPCC_benchmark_equivalent,,0,0
147,109,111,1,1,retained_NPCC_benchmark_equivalent,,0,0
148,112,113,1,1,retained_NPCC_benchmark_equivalent,,0,0
149,114,117,1,1,retained_NPCC_benchmark_equivalent,,0,0
150,114,119,1,1,retained_NPCC_benchmark_equivalent,,0,0
151,114,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
152,115,116,1,1,retained_NPCC_benchmark_equivalent,,0,0
153,115,117,1,1,retained_NPCC_benchmark_equivalent,,0,0
154,115,118,1,1,retained_NPCC_benchmark_equivalent,,0,0
155,115,119,1,1,retained_NPCC_benchmark_equivalent,,0,0
156,115,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
157,115,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
158,115,139,1,1,retained_NPCC_benchmark_equivalent,,0,0
159,116,117,1,1,retained_NPCC_benchmark_equivalent,,0,0
160,116,118,1,1,retained_NPCC_benchmark_equivalent,,0,0
161,116,120,1,1,retained_NPCC_benchmark_equivalent,,0,0
162,116,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
163,116,122,1,1,retained_NPCC_benchmark_equivalent,,0,0
164,117,118,1,1,retained_NPCC_benchmark_equivalent,,0,0
165,117,119,1,1,retained_NPCC_benchmark_equivalent,,0,0
166,117,120,1,1,retained_NPCC_benchmark_equivalent,,0,0
167,117,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
168,117,122,1,1,retained_NPCC_benchmark_equivalent,,0,0
169,118,120,1,1,retained_NPCC_benchmark_equivalent,,0,0
170,118,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
171,118,122,1,1,retained_NPCC_benchmark_equivalent,,0,0
172,118,123,1,1,retained_NPCC_benchmark_equivalent,,0,0
173,119,120,1,1,retained_NPCC_benchmark_equivalent,,0,0
174,119,121,1,1,retained_NPCC_benchmark_equivalent,,0,0
175,121,122,1,1,retained_NPCC_benchmark_equivalent,,0,0
176,122,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
177,122,139,1,1,retained_NPCC_benchmark_equivalent,,0,0
178,124,125,1,1,retained_NPCC_benchmark_equivalent,,0,0
179,124,126,1,1,retained_NPCC_benchmark_equivalent,,0,0
180,124,127,1,1,retained_NPCC_benchmark_equivalent,,0,0
181,124,128,1,1,retained_NPCC_benchmark_equivalent,,0,0
182,125,126,1,1,retained_NPCC_benchmark_equivalent,,0,0
183,125,128,1,1,retained_NPCC_benchmark_equivalent,,0,0
184,126,127,1,1,retained_NPCC_benchmark_equivalent,,0,0
185,126,128,1,1,retained_NPCC_benchmark_equivalent,,0,0
186,126,138,1,1,retained_NPCC_benchmark_equivalent,,0,0
187,127,128,1,1,retained_NPCC_benchmark_equivalent,,0,0
188,127,132,1,1,retained_NPCC_benchmark_equivalent,,0,0
189,128,129,1,1,retained_NPCC_benchmark_equivalent,,0,0
190,128,130,1,1,retained_NPCC_benchmark_equivalent,,0,0
191,129,130,1,1,retained_NPCC_benchmark_equivalent,,0,0
192,130,131,1,1,retained_NPCC_benchmark_equivalent,,0,0
193,130,132,1,1,retained_NPCC_benchmark_equivalent,,0,0
194,131,133,1,1,retained_NPCC_benchmark_equivalent,,0,0
195,131,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
196,131,139,1,1,retained_NPCC_benchmark_equivalent,,0,0
197,132,133,1,1,retained_NPCC_benchmark_equivalent,,0,0
198,132,134,1,1,retained_NPCC_benchmark_equivalent,,0,0
199,132,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
200,132,138,1,1,retained_NPCC_benchmark_equivalent,,0,0
201,133,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
202,134,135,1,1,retained_NPCC_benchmark_equivalent,,0,0
203,134,136,1,1,retained_NPCC_benchmark_equivalent,,0,0
204,135,139,1,1,retained_NPCC_benchmark_equivalent,,0,0
205,136,139,1,1,retained_NPCC_benchmark_equivalent,,0,0
206,137,138,1,1,retained_NPCC_benchmark_equivalent,,0,0
207,1,21,1,1,retained_NPCC_benchmark_equivalent,,0,0
208,3,2,1,1,retained_NPCC_benchmark_equivalent,,0,0
209,3,4,1,1,retained_NPCC_benchmark_equivalent,,0,0
210,10,11,1,1,retained_NPCC_benchmark_equivalent,,0,0
211,10,22,1,1,retained_NPCC_benchmark_equivalent,,0,0
212,11,23,1,1,retained_NPCC_benchmark_equivalent,,0,0
213,13,24,1,1,retained_NPCC_benchmark_equivalent,,0,0
214,14,25,1,1,retained_NPCC_benchmark_equivalent,,0,0
215,16,27,1,1,retained_NPCC_benchmark_equivalent,,0,0
216,20,26,1,1,retained_NPCC_benchmark_equivalent,,0,0
217,28,29,1,1,retained_NPCC_benchmark_equivalent,,0,0
218,33,36,1,1,retained_NPCC_benchmark_equivalent,,0,0
219,40,41,1,1,retained_NPCC_benchmark_equivalent,,0,0
220,49,48,1,1,retained_NPCC_benchmark_equivalent,,0,0
221,48,100,1,1,retained_NPCC_benchmark_equivalent,,0,0
222,54,52,1,1,retained_NPCC_benchmark_equivalent,,0,0
223,54,55,1,1,retained_NPCC_benchmark_equivalent,,0,0
224,56,57,1,1,retained_NPCC_benchmark_equivalent,,0,0
225,58,59,1,1,retained_NPCC_benchmark_equivalent,,0,0
226,60,61,1,1,retained_NPCC_benchmark_equivalent,,0,0
227,75,76,1,1,retained_NPCC_benchmark_equivalent,,0,0
228,84,83,1,1,retained_NPCC_benchmark_equivalent,,0,0
229,85,86,1,1,retained_NPCC_benchmark_equivalent,,0,0
230,87,85,1,1,retained_NPCC_benchmark_equivalent,,0,0
231,101,102,1,1,retained_NPCC_benchmark_equivalent,,0,0
232,101,103,1,1,retained_NPCC_benchmark_equivalent,,0,0
233,137,136,1,1,retained_NPCC_benchmark_equivalent,,0,0
234,38,39,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
235,73,9002,1,0,retired_exact_source_parallel_aggregate,1391;1392,0,0
236,9002,74,1,0,retired_exact_source_parallel_aggregate,1734;1735,0,0
237,74,78,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
238,77,78,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
239,78,81,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
240,78,79,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
241,78,82,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
242,78,9003,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
243,9003,80,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
244,81,80,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
245,39,9001,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
246,9001,73,1,1,retained_S7_benchmark_delivery_equivalent_no_new_physical_identity_claim,,0,0
