bus_id,normalized_name,zone,base_kv,retention_reason,boundary_group,electrical_class,source_row,confidence
65,GESONIDGE,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,65,registered
66,WATERCURE,C,345,registered_nyiso_zone,,npcc_equivalent_terminal,66,registered
67,WRHL,C,230,registered_nyiso_zone,,npcc_equivalent_terminal,67,registered
68,HILLSIDE,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,68,registered
69,BINGHAMTON,C,345,registered_nyiso_zone,,npcc_equivalent_terminal,69,registered
70,BINGHAMTON,C,230,registered_nyiso_zone,,npcc_equivalent_terminal,70,registered
71,BINGHAMTON,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,71,registered
72,LAPEER,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,72,registered
73,PLEASANT VLY,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,73,registered
74,MILLWOOD,H,345,registered_nyiso_zone,,npcc_equivalent_terminal,74,registered
75,RAMAPO,G,138,registered_nyiso_zone,,npcc_equivalent_terminal,75,registered
76,RAMAPO,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,76,registered
77,BUCHANAN,H,345,registered_nyiso_overlay,,source_backed_overlay_terminal,77,registered
78,CE UG,I,345,registered_nyiso_zone,,npcc_equivalent_terminal,78,registered
79,RAV A-3,J,22,registered_nyiso_zone,,npcc_equivalent_terminal,79,registered
80,NORTHPORT,K,138,registered_nyiso_zone,,npcc_equivalent_terminal,80,registered
81,GOETHALS,J,345,registered_nyiso_zone,,npcc_equivalent_terminal,81,registered
82,AK-3,J,22,registered_nyiso_zone,,npcc_equivalent_terminal,82,registered
100,PHAS,,220,first_external_tie_terminal,HQ,external_boundary_terminal,100,registered
102,BP 76,,220,first_external_tie_terminal,ONTARIO,external_boundary_terminal,102,registered
103,PA 27,,220,first_external_tie_terminal,ONTARIO,external_boundary_terminal,103,registered
124,BRANCHBURG,,230,first_external_tie_terminal,PJM,external_boundary_terminal,124,registered
125,LINDON,,230,first_external_tie_terminal,PJM,external_boundary_terminal,125,registered
134,HOMER CITY,,230,first_external_tie_terminal,PJM,external_boundary_terminal,134,registered
138,E TOMANO,,230,first_external_tie_terminal,PJM,external_boundary_terminal,138,registered
140,TE,,230,first_external_tie_terminal,PJM,external_boundary_terminal,140,registered
9001,KNICKERBOCKER,G,345,registered_nyiso_zone,,npcc_equivalent_terminal,141,registered
9002,WOOD STREET,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,142,registered
9003,EAST GARDEN CITY,K,345,registered_nyiso_zone,,npcc_equivalent_terminal,143,registered
1228,FRASER,E,345,registered_nyiso_overlay,,source_backed_overlay_terminal,144,registered
1222,COOPERS CORNER,E,345,registered_nyiso_overlay,,source_backed_overlay_terminal,145,registered
1567,MARCY,E,345,registered_nyiso_overlay,,source_backed_overlay_terminal,146,registered
772,ROCK TAVERN,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,147,registered
858,E. FISHKILL,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,148,registered
774,LADENTOWN,G,345,registered_nyiso_overlay,,source_backed_overlay_terminal,149,registered
547,UNKNOWN129188,I,345,registered_nyiso_overlay,,source_backed_overlay_terminal,150,registered
593,DUNWOODIE,I,345,registered_nyiso_overlay,,source_backed_overlay_terminal,151,registered
594,SPRAIN BROOK,I,345,registered_nyiso_overlay,,source_backed_overlay_terminal,152,registered
1136,WEST 49TH STREET,J,345,registered_nyiso_overlay,,source_backed_overlay_terminal,153,registered
1532,WEST 49TH STREET,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,154,registered
1501,DUNWOODIE,I,138,registered_nyiso_overlay,,source_backed_overlay_terminal,155,registered
1502,SPRAIN BROOK,I,138,registered_nyiso_overlay,,source_backed_overlay_terminal,156,registered
596,TREMONT,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,157,registered
1503,TREMONT,J,69,registered_nyiso_overlay,,source_backed_overlay_terminal,158,registered
598,GREAT NECK,K,69,registered_nyiso_overlay,,source_backed_overlay_terminal,159,registered
626,VALLEY STREAM,K,69,registered_nyiso_overlay,,source_backed_overlay_terminal,160,registered
1506,JAMAICA,J,69,registered_nyiso_overlay,,source_backed_overlay_terminal,161,registered
628,JAMAICA,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,162,registered
1493,EAST ASTORIA,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,163,registered
601,CORONA,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,164,registered
595,BRUCKNER,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,165,registered
597,NORTH QUEENS,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,166,registered
600,EAST 179TH STREET,J,138,registered_nyiso_overlay,,source_backed_overlay_terminal,167,registered
557,EAST ASTORIA,J,345,registered_nyiso_overlay,,source_backed_overlay_terminal,168,registered
560,SHORE RD,K,345,registered_nyiso_overlay,,source_backed_overlay_terminal,169,registered
1497,EAST GARDEN CITY,K,69,registered_nyiso_overlay,,source_backed_overlay_terminal,170,registered
