device_key,source_bus,source_device_role,raw_switched_status,raw_mode,raw_binit_mvar,canonical_bs_mvar,raw_QS_gen_row,raw_QS_status,raw_blocks_count_times_mvar,raw_voltage_upper_pu,raw_voltage_lower_pu,raw_remote_bus,already_in_canonical_bus_BS,add_as_generator,recommended_treatment
PERFORM2019:SWITCHED_SHUNT:609,609,switched_shunt_frozen_as_bus_susceptance,0,2,-99.74,-99.74,290,1,1x-200;1x200,1.0075,1.0075,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:621,621,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,295,1,1x150,1,1,627,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:623,623,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,298,1,1x250,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:733,733,switched_shunt_frozen_as_bus_susceptance,0,2,13.49,13.49,327,1,1x100,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:736,736,switched_shunt_frozen_as_bus_susceptance,0,2,14.07,14.07,332,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:737,737,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,340,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:738,738,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,342,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:739,739,switched_shunt_frozen_as_bus_susceptance,0,2,9.82,9.82,343,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:740,740,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,344,1,1x275,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:822,822,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,359,1,1x100;1x1.9e-37,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:840,840,switched_shunt_frozen_as_bus_susceptance,0,2,12.71,12.71,362,1,1x500,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:842,842,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,363,1,1x500,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:846,846,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,364,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:861,861,switched_shunt_frozen_as_bus_susceptance,0,2,23.96,23.96,373,1,1x100,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:999,999,switched_shunt_frozen_as_bus_susceptance,0,2,40,40,397,1,1x40,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1138,1138,switched_shunt_frozen_as_bus_susceptance,0,2,19.19,19.19,514,1,1x60,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1160,1160,switched_shunt_frozen_as_bus_susceptance,0,2,204.33,204.33,522,1,1x-400;1x400,1.02,1.02,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1161,1161,switched_shunt_frozen_as_bus_susceptance,0,2,19.64,19.64,523,1,1x30,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1164,1164,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,526,1,1x500,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1204,1204,switched_shunt_frozen_as_bus_susceptance,0,2,10.5,10.5,537,1,1x50,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1484,1484,switched_shunt_frozen_as_bus_susceptance,0,2,23.06,23.06,642,1,1x50,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1489,1489,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,643,1,1x200,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1496,1496,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,644,1,1x500,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:1539,1539,switched_shunt_frozen_as_bus_susceptance,0,2,83.53,83.53,646,1,1x500,1.02,1.02,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
