bus_id,compact_bus_name,base_kv,original_NPCC_NY_bus,nygrid_equivalent_zone,compact_declared_physical_zone,zone_role_differs,nygrid_zone_basis,nygrid_raw_load_weight,nygrid_generator_role_present,compact_generator_record_present,source_generation_role_missing_in_compact,recommended_literal_injection_bus,claim_boundary,note
61,DUNKIRK     ,115,True,A,A,False,released_npcc.csv_and_npcc_new.csv,2.37,True,True,False,61,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
62,STOLLE RD   ,230,True,B,A,True,released_npcc.csv_and_npcc_new.csv,0,True,False,True,62,role_identity_not_geographic_validation,Paper B; compact A. Moves54-62/58-62 across Dysinger in paper and62-63 across WestCentral.
63,MEYER       ,230,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,False,False,False,63,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
64,MEYER       ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,1.43,False,False,False,64,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
65,GESONIDGE   ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0.91,True,True,False,65,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
66,WATERCURE   ,345,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,False,False,False,66,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
67,WRHL        ,230,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,False,False,False,67,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
68,HILLSIDE    ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,2.11,True,True,False,68,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
69,BINGHAMTON  ,345,True,E,C,True,released_npcc.csv_and_npcc_new.csv,0,False,False,False,69,role_identity_not_geographic_validation,Paper E; compact C.38-69 remains an original physical/equivalent network edge in both; it is not a substitute to delete when adding paper Marcy.
70,BINGHAMTON  ,230,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,False,False,False,70,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
71,BINGHAMTON  ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,3.71,True,True,False,71,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
72,LAPEER      ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,False,True,False,72,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
73,PLEASANT VLY,345,True,G,G,False,released_npcc.csv_and_npcc_new.csv,1,False,True,False,73,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
74,MILLWOOD    ,345,True,H,H,False,released_npcc.csv_and_npcc_new.csv,1.02,True,False,True,74,role_identity_not_geographic_validation,Paper IndianPoint2/3 and reference generation land here; compact has the bus but no generator record. Preserve74 for literal bus-injection transfer.
75,RAMAPO      ,138,True,G,G,False,released_npcc.csv_and_npcc_new.csv,0.5,False,False,False,75,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
76,RAMAPO      ,345,True,G,G,False,released_npcc.csv_and_npcc_new.csv,0.5,False,True,False,76,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
77,BUCHANAN    ,345,True,G,H,True,released_npcc.csv_and_npcc_new.csv,2,True,False,True,77,role_identity_not_geographic_validation,Paper G; compact H.74-77 is a paper UPNY member; candidate physical IndianPoint relocation to77 is a separate spatial-policy experiment.
78,CE UG       ,345,True,I,I,False,released_npcc.csv_and_npcc_new.csv,20,False,True,False,78,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
79,RAV A-3     ,22,True,K,J,True,released_npcc.csv_and_npcc_new.csv,3,True,True,False,79,role_identity_not_geographic_validation,"Paper K allocation role despite RAV A-3 name; compact J. Paper Dunwoodie excludes78-79, current compact I-J includes it."
80,NORTHPORT   ,138,True,K,K,False,released_npcc.csv_and_npcc_new.csv,4,True,True,False,80,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
81,GOETHALS    ,345,True,J,J,False,released_npcc.csv_and_npcc_new.csv,0,False,True,False,81,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
82,AK-3        ,22,True,J,J,False,released_npcc.csv_and_npcc_new.csv,0,True,True,False,82,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
9001,KNICKERBOCKER,345,False,G,G,False,explicit_added_transit_role_assumption,0,False,False,False,9001,role_identity_not_geographic_validation,Zero-injection extension retained with explicitly assigned comparison-zone role.
9002,WOOD STREET,345,False,G,G,False,explicit_added_transit_role_assumption,0,False,False,False,9002,role_identity_not_geographic_validation,Zero-injection extension retained with explicitly assigned comparison-zone role.
9003,EAST GARDEN CITY,345,False,K,K,False,explicit_added_transit_role_assumption,0,False,True,False,9003,role_identity_not_geographic_validation,Zero-injection extension retained with explicitly assigned comparison-zone role.
858,E. FISHKILL,345,False,G,G,False,explicit_added_transit_role_assumption,0,False,False,False,858,role_identity_not_geographic_validation,Zero-injection extension retained with explicitly assigned comparison-zone role.
774,LADENTOWN,345,False,G,G,False,explicit_added_transit_role_assumption,0,False,False,False,774,role_identity_not_geographic_validation,Zero-injection extension retained with explicitly assigned comparison-zone role.
