scenario_id,nyiso_zone_letter,nyiso_zone_name,load_mw,generation_mw,pmax_mw,net_injection_mw,generation_source,interchange_source,status,note
S1_PERFORM_COMPATIBLE_PEAK,E,MHK VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,F,CAPITL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,G,HUD VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,H,MILLWD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,I,DUNWOD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,J,N.Y.C.,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S1_PERFORM_COMPATIBLE_PEAK,K,LONGIL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,A,WEST,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,B,GENESE,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,C,CENTRL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,D,NORTH,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,E,MHK VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,F,CAPITL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,G,HUD VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,H,MILLWD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,I,DUNWOD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,J,N.Y.C.,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S2_SHOULDER_LOAD,K,LONGIL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,A,WEST,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,B,GENESE,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,C,CENTRL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,D,NORTH,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,E,MHK VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,F,CAPITL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,G,HUD VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,H,MILLWD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,I,DUNWOD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,J,N.Y.C.,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S3_HIGH_DOWNSTATE_LOAD,K,LONGIL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,A,WEST,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,B,GENESE,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,C,CENTRL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,D,NORTH,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,E,MHK VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,F,CAPITL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,G,HUD VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,H,MILLWD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,I,DUNWOD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,J,N.Y.C.,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S4_HIGH_WESTERN_NORTHERN_GENERATION,K,LONGIL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,A,WEST,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,B,GENESE,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,C,CENTRL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,D,NORTH,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,E,MHK VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,F,CAPITL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,G,HUD VL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,H,MILLWD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,I,DUNWOD,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,J,N.Y.C.,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
S5_ALTERED_EXTERNAL_INTERCHANGE,K,LONGIL,,,,,Populate from matched scenario,ny_external_interchange_schedule.csv,template,Add E/G/H equivalents when nonzero targets are required
