interface_name,source_monitored_circuit,circuit_id,metered_end,sign,reduced_from_bus,reduced_to_bus,reduced_branch_index,reduced_branch_or_cutset,effective_date,mapping_confidence,calibration_eligible,aggregate_name,zone_boundary,positive_direction,target_source,source_branch_rows,source_meter_location,mapping_note
Dysinger_East,"Dysinger lower-voltage monitored paths represented by the reduced A-B remainder",DE_LOWER_VOLTAGE_AGGREGATE,from,1,54,52,63,cutset:Dysinger_East:branch:63,2022-06-23,low,1,Dysinger_East,A-B,A_to_B,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,multi-segment,Reduced cutset evaluated at the A-side,"No one-to-one retained path for six Lockport circuits or Andover-Palmiter"
Moses_South,"Moses South seven-circuit public operator",MSU1;MA1;MA2;4;5;13;3,to,1,40,44,8,cutset:Moses_South:branch:8,2022-06-23,low,1,Moses_South,retained_enclave,enclave_outward,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2143;2125;2126;920;921;866;851,Official source-side meters; reduced retained-enclave boundary,"Explicit conserved cut S={44,47,48}; many-to-one reduced component"
Moses_South,"Moses South seven-circuit public operator",MSU1;MA1;MA2;4;5;13;3,to,1,43,44,11,cutset:Moses_South:branch:11,2022-06-23,low,1,Moses_South,retained_enclave,enclave_outward,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2143;2125;2126;920;921;866;851,Official source-side meters; reduced retained-enclave boundary,"Explicit conserved cut S={44,47,48}; many-to-one reduced component"
Moses_South,"Moses South seven-circuit public operator",MSU1;MA1;MA2;4;5;13;3,from,1,44,45,14,cutset:Moses_South:branch:14,2022-06-23,low,1,Moses_South,retained_enclave,enclave_outward,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2143;2125;2126;920;921;866;851,Official source-side meters; reduced retained-enclave boundary,"Explicit conserved cut S={44,47,48}; many-to-one reduced component"
Moses_South,"Moses South seven-circuit public operator",MSU1;MA1;MA2;4;5;13;3,to,1,46,47,19,cutset:Moses_South:branch:19,2022-06-23,low,1,Moses_South,retained_enclave,enclave_outward,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2143;2125;2126;920;921;866;851,Official source-side meters; reduced retained-enclave boundary,"Explicit conserved cut S={44,47,48}; many-to-one reduced component"
Moses_South,"Moses South seven-circuit public operator",MSU1;MA1;MA2;4;5;13;3,to,1,49,48,62,cutset:Moses_South:branch:62,2022-06-23,low,1,Moses_South,retained_enclave,enclave_outward,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2143;2125;2126;920;921;866;851,Official source-side meters; reduced retained-enclave boundary,"Explicit conserved cut S={44,47,48}; many-to-one reduced component"
Total_East_proxy,"Partial F-G proxy for the official Total East composite",TOTAL_EAST_PARTIAL_FG,from,1,37,39,2,cutset:Total_East_proxy:branch:2,2022-06-23,low,0,Total_East_proxy,composite,eastbound,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1606;1607,Reduced F-side meter,"Official Total East also includes Central East, PJM, ISONE, and Rockland elements"
Total_East_proxy,"Fraser-Gilboa GF5-35 within the official Total East composite",GF5-35,from,1,38,39,69,cutset:Total_East_proxy:branch:69,2022-06-23,medium,0,Total_East_proxy,composite,eastbound,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2136,Official Fraser-side meter; reduced Gilboa-side proxy,"Exact source circuit exists, but the remaining composite operator is incomplete"
UPNY_ConEd,"Pleasant Valley-East Fishkill F36/F37 and unresolved UPNY-ConEd aggregate paths",F36;F37;RFK305;BK1;BK2,from,1,73,74,51,cutset:UPNY_ConEd:branch:51,2022-06-23,low,0,UPNY_ConEd,G-H,G_to_H,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1389;1390;absent;1691,Mixed official meters; reduced G-side meter,"Aggregate retained path; source conservation not established"
UPNY_ConEd,"UPNY-ConEd residual Pleasant Valley-Millwood aggregate path",UPNY_RESIDUAL_2,from,1,73,74,52,cutset:UPNY_ConEd:branch:52,2022-06-23,low,0,UPNY_ConEd,G-H,G_to_H,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,multi-segment,Reduced G-side meter,"No one-to-one source circuit identity"
UPNY_ConEd,"Ladentown-Buchanan South Y88; Ramapo-Buchanan North Y94",Y88;Y94,from,1,76,77,56,cutset:UPNY_ConEd:branch:56,2022-06-23,medium,0,UPNY_ConEd,G-H,G_to_H,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1576;1738,Official Buchanan/Ladentown meters normalized G-to-H,"Two source paths share an aggregate retained Buchanan corridor"
UPNY_ConEd,"Pleasant Valley-Wood Street F30/F31 path, represented at Wood Street-Millwood circuit 1",F30;F31;WM1,from,1,9002,74,71,cutset:UPNY_ConEd:branch:71,2022-06-23,medium,0,UPNY_ConEd,G-H,G_to_H,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1391;1392;1734,Reduced Wood Street G-side meter,"Physical WM1 row is exact, but the complete public operator is unresolved"
UPNY_ConEd,"Pleasant Valley-Wood Street F30/F31 path, represented at Wood Street-Millwood circuit 2",F30;F31;WM2,from,1,9002,74,83,cutset:UPNY_ConEd:branch:83,2022-06-23,medium,0,UPNY_ConEd,G-H,G_to_H,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1391;1392;1735,Reduced Wood Street G-side meter,"Physical WM2 row is exact, but the complete public operator is unresolved"
West_Central,"Pannell Road-Clay PC1/PC2",PC1;PC2,to,1,50,52,23,cutset:West_Central:branch:23,2022-06-23,medium,1,West_Central,B-C,B_to_C,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2157;2158,Official meter at Clay; reduced aggregate evaluated at the B-side,"Two source circuits collapse to one reduced 345-kV branch"
West_Central,"Pannell-Farmington 4 and West Central 115-kV/transformer elements",4;930;1/7;2;13;906;TB3;TR1;XF7;XF4,to,1,51,53,24,cutset:West_Central:branch:24,2022-06-23,low,1,West_Central,B-C,B_to_C,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2337;471;470;333;multi-segment,Circuit-specific official meters; reduced cutset evaluated at the B-side,"Incomplete many-to-one lower-voltage representation"
West_Central,"West Central residual cutset including shared Dysinger elements 67 and 157-932",WC_RESIDUAL;67;157-932,from,1,53,65,28,cutset:West_Central:branch:28,2022-06-23,low,1,West_Central,B-C,B_to_C,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,multi-segment,Reduced cutset evaluated at the B-side,"Aggregate proxy only; source conservation not established"
