scenario_id,x_multiplier,device_profile,eta,status,note,voltage_penalty_rho,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,added_device_report_count,added_device_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,added_device_pg_mw,added_device_qg_mvar,added_device_pmax_mw,added_device_qabs_limit_mvar,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S2_2025_WINTER_PEAK_PUBLIC,1,q_support,1,ok,,0,12,0,0,258895.755417794,49,81,37,6,6,10902.2197987,1716.5,9908.69986274579,5922.73633224997,-1107.98572581365,-853.365467632651,1.1566825287948e-10,1369.91363890167,0,3350,0.9,1.1,18,1,0,0,69.5835710280454,2840.33890904167,2133.96155188392,1810.61730683358,2883.50852113686,898.858796913542
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,q_support,1,ok,,0,12,0,0,258001.320706121,49,81,37,6,6,10902.2197987,1716.5,9600.24230824699,5939.29897607031,-1107.98572581365,-853.365467632651,1.15133373495703e-10,1517.18876190639,0,3350,0.9,1.1,19,1,0,0,68.7998284250598,3003.93884723307,2565.05657857614,2275.09357872777,3693.44204645267,658.714554890611
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,q_support,1,ok,,0,12,0,0,258413.36906176,49,81,37,6,6,10902.2197987,1716.5,9227.19133571912,5944.23346109206,-1107.98572581365,-853.365467632651,1.15898188043446e-10,1503.56313199501,0,3350,0.9,1.1,18,1,0,0,69.8974541494665,2956.43410204481,2192.45490577309,1886.12940388493,3321.83541807425,1324.34522686016
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,q_support,1,ok,,0,12,0,0,258484.907947306,49,81,37,6,6,10902.2197987,1716.5,9252.37239992832,5986.03345172811,-1107.98572581365,-853.365467632651,1.15921037067473e-10,1485.19046673909,0,3350,0.9,1.1,18,1,0,0,69.6726966237173,2900.42261931733,2180.30116639756,1894.13902271108,3347.95244021463,1285.85291533182
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,q_support,1,ok,,0,12,0,0,258584.817016991,49,81,37,6,6,10902.2197987,1716.5,9761.7096541936,5871.67820305061,-1107.98572581365,-853.365467632651,1.15635080131233e-10,1414.32449080189,0,3350,0.9,1.1,18,1,0,0,69.850510796656,2947.05218782204,2234.21259270692,1956.1658327049,3110.66653209367,1027.66372889614
S1_2025_SUMMER_PEAK_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,796808.031550246,49,81,37,6,6,10902.2197987,1716.5,11471.4144382273,5713.43379651276,-1107.98572581365,-853.365467632651,2159.45961781418,1302.16349382384,7450,3350,0.9,1.1,18,1,0,0,69.9847515957744,2918.40663863,2152.98290047011,1851.3563985111,1811.19656126028,753.385567307916
S2_2025_WINTER_PEAK_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,655452.635202217,49,81,37,6,6,10902.2197987,1716.5,11559.6213656491,5996.12607714179,-1107.98572581365,-853.365467632651,1624.18107747868,1266.3915131435,7450,3350,0.9,1.1,18,1,0,0,68.8522048126476,2812.23701469531,2107.83911360232,1785.74422529252,1822.13138989126,509.943407875224
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,726174.289235429,49,81,37,6,6,10902.2197987,1716.5,11472.4405408476,5755.78487288651,-1107.98572581365,-853.365467632651,1898.06368233529,1371.80934810964,7450,3350,0.9,1.1,19,1,0,0,69.9457729650699,2988.08396988574,2551.83900163804,2263.35892575141,2429.33900392449,258.970202711654
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,826266.468326951,49,81,37,6,6,10902.2197987,1716.5,11462.8866685894,5671.53011533766,-1107.98572581365,-853.365467632651,2270.1109580873,1310.37935895841,7450,3350,0.9,1.1,18,1,0,0,70.2080048998063,2942.12027932384,2179.77715224779,1874.37097056315,1844.80935071352,762.744091866204
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,822345.409227422,49,81,37,6,6,10902.2197987,1716.5,11476.3174334046,5746.81714433358,-1107.98572581365,-853.365467632651,2255.14787452468,1296.30576144636,7450,3350,0.9,1.1,18,1,0,0,69.7914453345269,2883.26249262418,2164.83343356919,1879.65808764502,1879.00439546173,732.637829994015
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,pq_supply,1,ok,,0,12,1,1,686331.095884537,49,81,37,6,6,10902.2197987,1716.5,11478.2677767063,5754.03953224846,-1107.98572581365,-853.365467632651,1742.87367236177,1311.77143976193,7450,3350,0.9,1.1,18,1,0,0,69.8084620074747,2930.09651181263,2218.85915393193,1941.76118916656,1972.08652122303,601.249590123094
S1_2025_SUMMER_PEAK_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24319689.2591188,49,81,37,6,6,10902.2197987,1716.5,11478.7779560508,5791.54146913478,-1107.98572581365,-853.365467632651,2160.22982201339,1302.00522657047,7450,3350,0.9,1.1,13,1,0,0,69.9137767370416,2917.53848559676,2152.16557588626,1850.57612114575,1810.64709208664,753.332713227125
S2_2025_WINTER_PEAK_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24178315.0089494,49,81,37,6,6,10902.2197987,1716.5,11564.4021501,6067.35791404585,-1107.98572581365,-853.365467632651,1624.8890414231,1266.30232993399,7450,3350,0.9,1.1,14,1,0,0,68.7864608123433,2811.44830520959,2107.09139667627,1785.02737665845,1821.64128862281,509.832248291856
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24248991.7500108,49,81,37,6,6,10902.2197987,1716.5,11480.1588115341,5843.24703040607,-1107.98572581365,-853.365467632651,1898.62406438844,1371.50733089349,7450,3350,0.9,1.1,15,1,0,0,69.9057672102861,2987.41148792954,2551.22560140482,2262.78698245059,2428.99951303009,258.806232978336
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24349151.9674047,49,81,37,6,6,10902.2197987,1716.5,11470.3760099947,5752.89113927399,-1107.98572581365,-853.365467632651,2270.85205690949,1310.24504458332,7450,3350,0.9,1.1,13,1,0,0,70.1344043835197,2941.29110753719,2178.99273980529,1873.62059683635,1844.28129980744,762.697241522043
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24345224.244173,49,81,37,6,6,10902.2197987,1716.5,11483.2032871061,5825.10776256302,-1107.98572581365,-853.365467632651,2255.90557870134,1296.14728160565,7450,3350,0.9,1.1,13,1,0,0,69.7217914783867,2882.40918394454,2164.02944692603,1878.89029618323,1878.46875579047,732.577883830136
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24209193.2724761,49,81,37,6,6,10902.2197987,1716.5,11487.3209576715,5831.32982721467,-1107.98572581365,-853.365467632651,1743.68021855303,1311.58355651584,7450,3350,0.9,1.1,13,1,0,0,69.7377721879211,2929.17810482491,2217.99882488236,1940.94269434672,1971.53185806224,601.149637786433
S1_2025_SUMMER_PEAK_PUBLIC,0.75,none,1,ok,,0,12,0,0,258305.111919675,49,81,31,0,0,10902.2197987,1716.5,9219.86162315431,5576.91567532783,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,66.5430664956911,2828.33245640956,2074.26783901951,1775.35975899067,3233.3902985279,1286.08444610786
S2_2025_WINTER_PEAK_PUBLIC,0.75,none,1,ok,,0,12,0,0,258711.520037937,49,81,31,0,0,10902.2197987,1716.5,9785.33634117499,5579.63874146135,-1107.98572581365,-853.365467632651,0,0,0,0,0.90000020330222,1.09999977242261,10,1,0,0,66.1898774229414,2735.86528626743,2041.9725636997,1722.04457741304,2896.78641768283,896.70646148588
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,none,1,ok,,0,12,0,0,257570.413124656,49,81,31,0,0,10902.2197987,1716.5,9475.44374468807,5627.53097355814,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,65.3093545170975,2892.16805962004,2466.97315467821,2181.94909567632,3701.13622437089,657.857975108383
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,none,1,ok,,0,12,0,0,258116.376321161,49,81,31,0,0,10902.2197987,1716.5,9104.37652210559,5588.89592117119,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,66.4034405386197,2849.75313863714,2098.75244857402,1796.117313511,3340.43328789965,1319.30633907733
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,none,1,ok,,0,12,0,0,258287.097165152,49,81,31,0,0,10902.2197987,1716.5,9128.86405536173,5622.31970312625,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,66.3242550114227,2794.5105476062,2087.23205094106,1804.71396292093,3366.09385144935,1281.09310216028
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,none,1,ok,,0,12,0,0,258350.827744612,49,81,31,0,0,10902.2197987,1716.5,9638.59429736944,5528.69623512409,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,66.4784447243303,2840.72523291472,2140.89467738131,1866.65260267736,3125.34115667287,1024.79022396267
S1_2025_SUMMER_PEAK_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,819502.24861044,49,81,37,6,6,10902.2197987,1716.5,11436.1010006491,5384.37422876808,-1107.98572581365,-853.365467632651,2245.99930916379,0,7450,0,0.9,1.1,18,1,0,0,67.0811827517614,2814.18735589919,2061.79551763388,1763.82635626081,1764.91580790603,755.290985911289
S2_2025_WINTER_PEAK_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,677390.341038627,49,81,37,6,6,10902.2197987,1716.5,11468.9416698318,5569.30583305088,-1107.98572581365,-853.365467632651,1708.03567582403,0,7450,0,0.9,1.1,17,1,0,0,65.8297444999227,2712.78591939458,2020.62984056975,1701.74067744999,1774.48552275698,507.883589450963
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,749770.571459248,49,81,37,6,6,10902.2197987,1716.5,11466.1977273187,5554.40954569834,-1107.98572581365,-853.365467632651,1989.06057106528,0,7450,0,0.9,1.1,18,1,0,0,66.2957233585635,2879.47508071328,2456.33060223024,2172.47832422642,2374.4527917231,250.678878229018
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,849241.27696831,49,81,37,6,6,10902.2197987,1716.5,11441.6200177757,5399.31640715486,-1107.98572581365,-853.365467632651,2358.49047902838,0,7450,0,0.9,1.1,18,1,0,0,67.3073769662169,2835.49527738051,2086.47335606378,1784.93027791799,1797.52349569411,764.465415976963
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,844980.823926608,49,81,37,6,6,10902.2197987,1716.5,11435.6926306968,5393.18755447312,-1107.98572581365,-853.365467632651,2340.54119359054,0,7450,0,0.9,1.1,18,1,0,0,66.8713316392399,2780.56147959958,2074.90888985096,1793.31460438299,1833.3977256733,734.368900059728
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,p_supply,1,ok,,0,12,1,1,708884.347201666,49,81,37,6,6,10902.2197987,1716.5,11442.7002045702,5420.8900515699,-1107.98572581365,-853.365467632651,1829.70442932649,0,7450,0,0.9,1.1,18,1,0,0,66.9229663232083,2825.78760053576,2127.66391586219,1854.39543332526,1923.49499560038,600.259509036901
S1_2025_SUMMER_PEAK_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,258513.626487411,49,81,37,6,6,10902.2197987,1716.5,9393.32899760455,5929.76003698376,-1107.98572581365,-853.365467632651,1.0097214984078e-10,1448.30535581354,0,3350,0.9,1.1,18,1,0,0,71.0929219324307,2976.3951038303,2209.75622929428,1910.53521561929,3235.00509042299,1284.56875001636
S2_2025_WINTER_PEAK_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,258936.124301264,49,81,37,6,6,10902.2197987,1716.5,9954.94013202136,5940.39330759389,-1107.98572581365,-853.365467632651,1.00846544776123e-10,1360.07482464159,0,3350,0.9,1.1,19,1,0,0,70.8036750146852,2878.78198663013,2172.9517981973,1852.89792240097,2897.06353133187,895.63479793975
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,258262.704325341,49,81,37,6,6,10902.2197987,1716.5,9656.61361735493,5925.01093977451,-1107.98572581365,-853.365467632651,1.00451503521278e-10,1502.00603158433,0,3350,0.9,1.1,19,1,0,0,70.6190499380792,3052.03305294675,2613.84117775407,2328.26131177472,3701.1383183129,656.716409609415
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,258425.01668602,49,81,37,6,6,10902.2197987,1716.5,9277.80336207059,5931.61589452673,-1107.98572581365,-853.365467632651,1.00970867776748e-10,1472.97803507638,0,3350,0.9,1.1,18,1,0,0,71.1312765946825,2999.01632516938,2235.43915594756,1932.51539775408,3342.22468818198,1317.72188721426
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,258498.674251348,49,81,37,6,6,10902.2197987,1716.5,9301.59791562383,5975.46674381456,-1107.98572581365,-853.365467632651,1.00994116626554e-10,1450.71793732097,0,3350,0.9,1.1,18,1,0,0,70.8900509676729,2941.43995938527,2221.74448697846,1938.93997965478,3367.6898811401,1279.58690063512
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,q_support,1,ok,,0,12,0,0,284681.471600065,49,81,37,6,6,10902.2197987,1716.5,9825.14789351834,5404.55662026771,-1107.98572581365,-853.365467632651,73.3732327163081,1285.02255869916,0,3350,0.902417457613414,1.09989743144129,0,0,0,0,81.818565232194,3461.10481246633,2939.55807822975,2817.26096773977,2885.78654458627,973.686251745876
S1_2025_SUMMER_PEAK_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,784665.217120996,49,81,37,6,6,10902.2197987,1716.5,11474.9457578827,5770.72528403478,-1107.98572581365,-853.365467632651,2113.96771029466,1307.54943982354,7450,3350,0.9,1.1,18,1,0,0,71.1241279120112,2957.64112495201,2192.78582505877,1894.5443503259,1851.28605243881,783.123583709283
S2_2025_WINTER_PEAK_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,644632.584115058,49,81,37,6,6,10902.2197987,1716.5,11564.9248039921,6062.52326534964,-1107.98572581365,-853.365467632651,1582.77438872467,1272.92800734169,7450,3350,0.9,1.1,18,1,0,0,69.9633690171845,2848.23190062515,2144.45235128936,1825.63785311527,1856.92831774454,531.140500222408
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,712438.864323201,49,81,37,6,6,10902.2197987,1716.5,11454.7254874351,5735.04347717871,-1107.98572581365,-853.365467632651,1844.73058028852,1376.17281576401,7450,3350,0.9,1.1,19,1,0,0,71.3366378313167,3035.24944843966,2599.39711800336,2315.10095400443,2471.25660400967,272.754604082119
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,813807.443266974,49,81,37,6,6,10902.2197987,1716.5,11465.9752339489,5726.42341044601,-1107.98572581365,-853.365467632651,2223.58782761107,1315.65111443966,7450,3350,0.9,1.1,18,1,0,0,71.3612998626968,2982.28847433493,2220.49886757351,1918.5337205133,1885.81332622153,792.927674632865
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,810374.231049087,49,81,37,6,6,10902.2197987,1716.5,11480.0498509915,5803.89093844837,-1107.98572581365,-853.365467632651,2210.40908241546,1301.28512848145,7450,3350,0.9,1.1,18,1,0,0,70.923155918174,2921.76833569205,2203.91006365168,1922.12606658251,1918.63842616031,761.45348020565
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,pq_supply,1,ok,,0,12,1,1,674185.681550731,49,81,37,6,6,10902.2197987,1716.5,11482.1623500244,5813.17789236656,-1107.98572581365,-853.365467632651,1696.63780284225,1317.70085404234,7450,3350,0.9,1.1,18,1,0,0,70.9670075111432,2970.35813258134,2259.6634733202,1986.07932403242,2011.32538340164,626.10188743996
S1_2025_SUMMER_PEAK_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24307558.0302298,49,81,37,6,6,10902.2197987,1716.5,11481.1800884056,5848.55532741787,-1107.98572581365,-853.365467632651,2114.7045624662,1307.4506150134,7450,3350,0.9,1.1,13,1,0,0,71.0533184342888,2956.82462506686,2192.01044147002,1893.79909967257,1850.75265785386,783.042577769418
S2_2025_WINTER_PEAK_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24167509.4435827,49,81,37,6,6,10902.2197987,1716.5,11569.5430369788,6132.95075122171,-1107.98572581365,-853.365467632651,1583.48582503475,1272.77422955568,7450,3350,0.9,1.1,14,1,0,0,69.8986140485908,2847.44590780443,2143.70493090962,1824.91850641074,1856.42234441065,531.014396694644
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24235295.9597349,49,81,37,6,6,10902.2197987,1716.5,11459.1965712718,5811.87843119433,-1107.98572581365,-853.365467632651,1845.28054421268,1376.15063154118,7450,3350,0.9,1.1,15,1,0,0,71.259911992237,3034.65931885089,2598.82288556029,2314.54544097907,2470.89860140128,272.601630375791
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24336703.5121404,49,81,37,6,6,10902.2197987,1716.5,11472.5751418808,5807.92529600085,-1107.98572581365,-853.365467632651,2224.29151451387,1315.57372654854,7450,3350,0.9,1.1,13,1,0,0,71.2878329902089,2981.51595557359,2219.7607161769,1917.82246427094,1885.30383788034,792.853364956535
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24333265.8339662,49,81,37,6,6,10902.2197987,1716.5,11486.1799281459,5882.25301490804,-1107.98572581365,-853.365467632651,2211.13490944582,1301.19365266531,7450,3350,0.9,1.1,13,1,0,0,70.8537179757072,2920.96441976331,2203.14629051816,1921.39184035551,1918.11585288959,761.36756228112
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,pq_supply_vpenalty,1,ok,,10000,12,1,1,24197059.6865757,49,81,37,6,6,10902.2197987,1716.5,11489.1740207568,5889.12002735761,-1107.98572581365,-853.365467632651,1697.41254569089,1317.72899565746,7450,3350,0.9,1.1,13,1,0,0,70.8964323875405,2969.49102670062,2258.84444791014,1985.29477191274,2010.78024818416,625.984733383703
S1_2025_SUMMER_PEAK_PUBLIC,0.5,none,1,ok,,0,12,0,0,258350.240527688,49,81,31,0,0,10902.2197987,1716.5,9327.56241925649,5641.4076538053,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,69.1290020104341,2919.3364266127,2164.63104126828,1870.69253596618,3256.80614173725,1279.29664063951
S2_2025_WINTER_PEAK_PUBLIC,0.5,none,1,ok,,0,12,0,0,258750.519439846,49,81,31,0,0,10902.2197987,1716.5,9886.4415647153,5676.9190778433,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,68.7258734389754,2820.98474063709,2126.63725259075,1811.57533462636,2912.52267584744,893.116498728365
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,none,1,ok,,0,12,0,0,257972.879351873,49,81,31,0,0,10902.2197987,1716.5,9593.9104283374,5662.63727061985,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,68.6017845060976,2998.60641650089,2572.5933839256,2293.86650371871,3710.11325727107,655.458025649085
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,none,1,ok,,0,12,0,0,258262.355931052,49,81,31,0,0,10902.2197987,1716.5,9212.69232340198,5639.21021702259,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,17,1,0,0,69.1920414109185,2942.28426819578,2190.74437143302,1893.23040509939,3364.34065382926,1312.16712345498
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,none,1,ok,,0,12,0,0,258496.257224876,49,81,31,0,0,10902.2197987,1716.5,9230.20369886006,5685.48799708944,-1107.98572581365,-853.365467632651,0,0,0,0,0.900001339281749,1.09999847594247,9,1,0,0,68.9027563856402,2884.0633151614,2176.18016416426,1898.66010516902,3389.21372952991,1274.33638704165
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,none,1,ok,,0,12,0,0,258506.213891835,49,81,31,0,0,10902.2197987,1716.5,9733.55520343376,5597.53827438758,-1107.98572581365,-853.365467632651,0,0,0,0,0.900000142790944,1.09999984126387,11,1,0,0,69.1256502271642,2932.77579967817,2232.37084464681,1963.36202503052,3143.42479754915,1020.21271910669
S1_2025_SUMMER_PEAK_PUBLIC,0.5,p_supply,1,ok,,0,12,1,1,794442.646365821,49,81,37,6,6,10902.2197987,1716.5,11441.3280846747,5502.67008467267,-1107.98572581365,-853.365467632651,2150.79007210373,0,7450,0,0.9,1.1,17,1,0,0,69.4723301623632,2902.02506302881,2149.1047863716,1856.09389602436,1840.73016416899,796.990860309587
S2_2025_WINTER_PEAK_PUBLIC,0.5,p_supply,1,ok,,0,12,1,1,654651.468733552,49,81,37,6,6,10902.2197987,1716.5,11485.6609476273,5738.9950922592,-1107.98572581365,-853.365467632651,1621.07132362645,0,7450,0,0.9,1.1,17,1,0,0,68.1834051852633,2793.04040155964,2100.6246503584,1786.63024612211,1841.80141048069,538.573355734038
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,p_supply,1,ok,,0,12,1,1,721208.811110526,49,81,37,6,6,10902.2197987,1716.5,11439.5010775511,5541.85548046443,-1107.98572581365,-853.365467632651,1879.0018331121,0,7450,0,0.9,1.1,19,1,0,0,69.6229008703071,2980.90947080694,2557.40824245402,2280.03053385416,2456.38888384696,273.769390385635
