bus_id,bus_name,base_kv,original_npcc_area,physical_zone,load_allocation_group,nyiso_zone_letter,nyiso_zone_name,perform_zone_code,load_proxy_flag,generation_proxy_flag,load_proxy_weight,mapping_confidence,mapping_note
61,DUNKIRK,115.0,2,A,A,A,WEST,65,0,1,0.0,high,Dunkirk generation/load proxy
62,STOLLE RD,230.0,2,A,A,A,WEST,65,0,0,0.0,medium,Western corridor proxy
63,MEYER,230.0,2,C,C,C,CENTRL,67,0,0,0.0,medium,Central corridor proxy
64,MEYER,115.0,2,C,C,C,CENTRL,67,0,0,0.0,medium,Central load proxy
65,GESONIDGE,115.0,2,C,C,C,CENTRL,67,0,1,0.0,low,Name requires source-case confirmation
66,WATERCURE,345.0,2,C,C,C,CENTRL,67,0,0,0.0,medium,Central bulk proxy
67,WRHL,230.0,2,C,C,C,CENTRL,67,0,0,0.0,medium,Central corridor proxy
68,HILLSIDE,115.0,2,C,C,C,CENTRL,67,0,1,0.0,high,Central generation/load proxy
69,BINGHAMTON,345.0,2,C,C,C,CENTRL,67,0,0,0.0,high,Binghamton bulk proxy
70,BINGHAMTON,230.0,2,C,C,C,CENTRL,67,0,0,0.0,high,Binghamton corridor proxy
71,BINGHAMTON,115.0,2,C,C,C,CENTRL,67,0,1,0.0,high,Binghamton generation/load proxy
72,LAPEER,115.0,2,C,C,C,CENTRL,67,0,1,0.0,medium,Southern-tier proxy
73,PLEASANT VLY,345.0,3,G,G,G,HUD VL,71,1,1,0.5,high,Pleasant Valley Hudson Valley proxy and equivalent-generation candidate
74,MILLWOOD,345.0,3,H,H,H,MILLWD,73,0,0,0.0,high,Millwood proxy
75,RAMAPO,138.0,3,G,G,G,HUD VL,71,0,0,0.0,medium,Lower-voltage Hudson Valley proxy
76,RAMAPO,345.0,3,G,G,G,HUD VL,71,1,0,0.3,high,Hudson Valley bulk proxy
77,BUCHANAN,345.0,3,H,H,H,MILLWD,73,0,1,0.0,high,Buchanan Millwood-zone proxy and equivalent-generation candidate
78,CE UG,345.0,3,I,I,I,DUNWOD,72,1,1,1.0,medium,Dunwoodie-equivalent proxy; original bus is the case reference bus
79,RAV A-3,22.0,3,J,J,J,N.Y.C.,74,1,1,0.45,high,Ravenswood NYC generation/load-allocation proxy
80,NORTHPORT,138.0,3,K,K,K,LONGIL,75,0,1,1.0,high,Northport Long Island generation/load proxy
81,GOETHALS,345.0,3,J,J,J,N.Y.C.,74,1,0,0.1,high,Goethals is a Zone-J proxy
82,AK-3,22.0,3,J,J,J,N.Y.C.,74,1,1,0.45,medium,NYC generation/load-allocation proxy
9001,KNICKERBOCKER,345.0,2,G,G,G,HUD VL,71,0,0,0.0,medium,Transit bus added by add_ny_downstate_delivery_spine; no PERFORM counterpart; G keeps the Leeds-Pleasant Valley path intra-zone. Applied via attach_nyiso_zone_metadata transit defaults NOT via nyiso_bus_zone_map (which errors on buses absent from the 140-bus baseline).
9002,WOOD STREET,345.0,2,G,G,G,HUD VL,71,0,0,0.0,high,Transit bus; PERFORM WOOD STREET 345 kV is area 71 = zone G. Applied unconditionally by attach_nyiso_zone_metadata to also correct a stale zone-H classification in older S7 cases.
9003,EAST GARDEN CITY,345.0,3,K,K,K,LONGIL,75,0,0,0.0,high,Transit bus; PERFORM EAST GARDEN CITY 345 kV is area 75 = zone K. Applied via attach_nyiso_zone_metadata transit defaults; restores the CE UG-East Garden City I-K Con Ed-LIPA crossing to the cutset.
