stage,gate_id,gate_kind,metric_value,limit,comparator,required,passed,status,evidence,blocked_reason
stage_b_common_input,common_voltage_control_policy,readiness_prerequisite,0,1,==,1,0,blocked_fail_closed,"S12 source controls and S13 inherited controls are not yet a common representable set.",common_input_prerequisite_not_met
stage_b_common_input,no_s12_boundary_injections_added_to_s13,readiness_prerequisite,1,1,==,1,1,pass,"S13 retains exactly the S7 generator rows; S12 boundary records remain oracle-only.",
stage_b_common_input,no_interface_flow_closure,readiness_prerequisite,1,1,==,1,1,pass,"This audit reads public interfaces only for schedules, never for internal-flow fitting.",
stage_b_common_input,parent_branch_rxb_frozen,readiness_prerequisite,1,1,==,1,1,pass,"Every inherited S7 branch retains identical R/X/B.",
stage_b_common_input,added_physical_branch_rxb_source_exact,readiness_prerequisite,1,1,==,1,1,pass,"Every Phase 1A physical branch retains source PERFORM R/X/B.",
stage_b_common_input,no_residual_rxb_fit,readiness_prerequisite,1,1,==,1,1,pass,"No inherited or added physical branch admittance is fitted by this audit.",
stage_b_same_snapshot,frozen_common_baseline_available,prerequisite,NaN,NaN,defined,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,paired_standard_pf_executed,execution,NaN,1,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,paired_q_limit_pf_executed,execution,NaN,1,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,correct_E_G_flow_direction,system_response,NaN,1,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,complete_E_G_cut_error,system_response,NaN,15,<=percent_or_150MW,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,individual_physical_circuit_error,system_response,NaN,15,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,E_F_E_G_split_error_percentage_points,system_response,NaN,10,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,added_terminal_voltage_error_pu,system_response,NaN,0.02,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,added_terminal_aligned_angle_error_deg,system_response,NaN,2,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,internal_NY_active_loss_error_percent,system_response,NaN,15,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,legacy_DLR_current_error_percent,system_response,NaN,15,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_b_same_snapshot,added_physical_branch_overload_count,system_response,NaN,0,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_c_heldout,requested_perturbation_manifest_complete,manifest,1,1,==,1,1,pass,"All requested perturbations have the complete 432-row metric schema.",
stage_c_heldout,no_refit_policy,policy,1,1,==,1,1,pass,"No perturbation may refit S13.",
stage_c_heldout,all_heldout_runs_executed,blocked_metric,NaN,1,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_c_heldout,physical_current_change_direction_all,blocked_metric,NaN,1,==,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_c_heldout,maximum_physical_delta_I_error_percent,blocked_metric,NaN,15,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_c_heldout,E_G_cut_delta_P_error_percent,blocked_metric,NaN,15,<=,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
stage_c_heldout,response_regression_slope,blocked_metric,NaN,0.85,within_0.85_1.15,1,0,blocked_fail_closed,"Not evaluated without the frozen common baseline.",Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
orchestration,six_output_tables_built,artifact,1,1,==,1,1,pass,"All six output schemas, including this ledger, are constructed.",
orchestration,promotion_remains_false,safety_policy,1,1,==,1,1,pass,"This runner cannot promote or tag S13.",
