branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,base_kv,base_mva,from_bus,to_bus,frozen_r_pu,frozen_x_pu,frozen_b_pu,resistance_reference_c,resistance_eq_ohm,effective_length_km,inherited_rating_a_mva,reconstructed_r_ohm,resistance_identity_error_ohm,length_requires_review,realization_class,length_policy,physical_conductor_verified,thermal_parameters_assumed,research_thermal_eligible,qualification_scope
92,PERFORM2019:AC:900:1519:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,76,77,0.00054,0.00824,0.21288,75,0.642735,17.035272,1725,0.642735,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
93,NY2025:CEEC:351,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,43,9101,0.00174808548530721,0.0266568121104185,0.68909768477293,75,2.08065874888691,55.1465031878896,2000,2.08065874888691,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
94,NY2025:CEEC:352,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,43,9101,0.00174808548530721,0.0266568121104185,0.68909768477293,75,2.08065874888691,55.1465031878896,2000,2.08065874888691,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
95,NY2025:CEEC:361,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9101,37,0.000678361531611754,0.0103444345503117,0.267411041852182,75,0.80741981300089,21.4001355654497,2000,0.80741981300089,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
96,NY2025:CEEC:362,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9101,37,0.000678361531611754,0.0103444345503117,0.267411041852182,75,0.80741981300089,21.4001355654497,2000,0.80741981300089,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
97,NY2025:CEEC:14,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,43,9102,0.00187853962600178,0.0286461264470169,0.740522885129119,75,2.23593178984862,59.261913873553,2000,2.23593178984862,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
98,NY2025:CEEC:371,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9101,9102,0.000130454140694568,0.0019893143365984,0.0514252003561888,75,0.15527304096171,4.1154106856634,2000,0.15527304096171,2.77555756156289e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
102,NY2025:NYES:1,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9001,9104,0.0005739982190561,0.00875298308103295,0.226270881567231,75,0.683201380231523,18.107807016919,1800,0.683201380231523,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
103,NY2025:NYES:2,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,345,100,9104,73,0.000834906500445236,0.0127316117542297,0.329121282279608,75,0.993747462154942,26.3386283882458,1800,0.993747462154942,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
104,NY2025:SMART_PATH:1,DRAKE_795_ACSR,1,1,575,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,230,100,1220,48,0.01156,0.10931,0.41705,75,6.11524,71.6894289230769,575,6.11524,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
105,NY2025:SMART_PATH:2,DRAKE_795_ACSR,1,1,575,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,230,100,1220,48,0.0115685,0.10934,0.41718,75,6.1197365,71.7421417384616,575,6.1197365,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
106,NY2025:SMART_PATH:3,DRAKE_795_ACSR,1,1,453,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,230,100,1220,44,0.00815,0.0655,0.2499,75,4.31135,50.5422876923077,453,4.31135,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
107,NY2025:SMART_PATH:4,DRAKE_795_ACSR,1,1,453,assumed_overhead_AC,inherited_finite_RATE_A_treated_as_assumed_substation_equipment_ceiling,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_explicit_row_two_subconductors_at345_one_at230_assumed,230,100,1220,44,0.00815,0.0655,0.2499,75,4.31135,50.5422876923077,453,4.31135,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,0,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
