branch_row,branch_key,conductor_code,circuits,bundle_count,equipment_limit_mva,declared_asset_kind,full_branch_row,source_class,equipment_limit_policy,reference_resistance_policy,multiplicity_policy,declared_planning_length_miles,conductor_choice_basis,physical_conductor_verified,observed_weather,base_kv,base_mva,from_bus,to_bus,frozen_r_pu,frozen_x_pu,frozen_b_pu,resistance_reference_c,resistance_eq_ohm,effective_length_km,inherited_rating_a_mva,reconstructed_r_ohm,resistance_identity_error_ohm,length_requires_review,realization_class,length_policy,thermal_parameters_assumed,research_thermal_eligible,qualification_scope
92,PERFORM2019:AC:900:1519:1,CARDINAL_954_ACSR,1,2,1725,assumed_overhead_AC,257,PERFORM_source_AC_assumed_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,76,77,0.00054,0.00824,0.21288,75,0.642735,17.035272,1725,0.642735,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
93,NY2025:CEEC:351,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,258,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,43,9101,0.00174808548530721,0.0266568121104185,0.68909768477293,75,2.08065874888691,55.1465031878896,2000,2.08065874888691,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
94,NY2025:CEEC:352,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,259,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,43,9101,0.00174808548530721,0.0266568121104185,0.68909768477293,75,2.08065874888691,55.1465031878896,2000,2.08065874888691,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
95,NY2025:CEEC:361,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,260,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9101,37,0.000678361531611754,0.0103444345503117,0.267411041852182,75,0.80741981300089,21.4001355654497,2000,0.80741981300089,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
96,NY2025:CEEC:362,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,261,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9101,37,0.000678361531611754,0.0103444345503117,0.267411041852182,75,0.80741981300089,21.4001355654497,2000,0.80741981300089,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
97,NY2025:CEEC:14,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,262,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,43,9102,0.00187853962600178,0.0286461264470169,0.740522885129119,75,2.23593178984862,59.261913873553,2000,2.23593178984862,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
98,NY2025:CEEC:371,CARDINAL_954_ACSR,1,2,2000,assumed_overhead_AC,263,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9101,9102,0.000130454140694568,0.0019893143365984,0.0514252003561888,75,0.15527304096171,4.1154106856634,2000,0.15527304096171,2.77555756156289e-17,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
102,NY2025:NYES:1,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,267,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9001,9104,0.0005739982190561,0.00875298308103295,0.226270881567231,75,0.683201380231523,18.107807016919,1800,0.683201380231523,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
103,NY2025:NYES:2,CARDINAL_954_ACSR,1,2,1800,assumed_overhead_AC,268,CEEC_NYES_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,electrical_R_assumed_AC75_not_source_verified_temperature,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,NaN,catalog_ACSR_surrogate_not_verified_installed_conductor,0,0,345,100,9104,73,0.000834906500445236,0.0127316117542297,0.329121282279608,75,0.993747462154942,26.3386283882458,1800,0.993747462154942,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
126,NY2025_SPC:MH2,DRAKE_795_ACSR,1,1,433.826765771777,assumed_overhead_AC,291,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,2,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0,230,100,48,9120,0.000519017013232514,0.00207222748815166,0.00790616113744076,75,0.27456,3.218688,433.826765771777,0.27456,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
127,NY2025_SPC:MH3,DRAKE_795_ACSR,1,1,433.826765771777,assumed_overhead_AC,292,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,2,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0,230,100,48,9120,0.000519017013232514,0.00207222748815166,0.00790616113744076,75,0.27456,3.218688,433.826765771777,0.27456,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
128,NY2025_SPC:HA2,DRAKE_795_ACSR,1,2,1300.88273978672,assumed_overhead_AC,293,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,83.7,planning_Drake_size_motivates_ACSR_surrogate_installed_conductor_unverified,0,0,345,100,9121,1220,0.00482685822306238,0.0385434312796209,0.744463898104265,75,5.745168,134.7020928,1300.88273978672,5.745168,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
129,NY2025_SPC:HW2,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,294,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,35,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0,345,100,9121,9123,0.00201839949590422,0.0161173249078462,0.31130509478673,75,2.4024,56.32704,1863.78193173853,2.4024,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
130,NY2025_SPC:LINE11,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,295,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,42.5,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0,345,100,9122,43,0.00245091367359798,0.0195763009845288,0.378112143987342,75,2.9172,68.39712,1863.78193173853,2.9172,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
131,NY2025_SPC:LINE13,DRAKE_795_ACSR,1,2,1863.78193173853,assumed_overhead_AC,296,partial_SPC_assumed_explicit_overhead,finite_electrical_RATE_A_as_assumed_station_ceiling_not_verified_equipment,declared_Drake_catalog_AC75_and_planning_length_not_installed_conductor,one_circuit_per_row_two_subconductors_at345_one_at230_assumed,11.6,planning_ACSS_is_not_ACSR_library_uses_declared_Drake_ACSR_surrogate,0,0,345,100,1220,9122,0.000668955261499685,0.00534317862165963,0.103202373417722,75,0.796224,18.6683904,1863.78193173853,0.796224,0,0,synthetic_overhead_corridor,Rmatched_effective_length_not_surveyed_route,1,1,synthetic_electrothermal_consistency_requires_operating_and_weather_validation
