category,setting,value,notes
status,worst_interface_residual_mw,888.552812497361,Total East proxy in the shoulder scenario
status,min_voltage_pu,0.952721175,Standard PF across six scenarios
status,max_voltage_pu,1.11002238077969,Voltage upper-bound violations remain
status,max_branch_overload_mva,341.033428002839,Niagara West-Huntley in the shoulder scenario
status,max_q_limit_violation_mvar,253.459333590476,Shoulder standard PF; resolved under Q-limit-enforced PF
operational_status,retarget_note,superseded_pending_rerun,All operational/capability/reactive/restoration/control_reduction rows below reflect the prior 2025-target configuration and have not been rerun on 2019 targets
operational_status,s8_reporting_objective,0.0153097682237959,In-sample AC dispatch reoptimization
operational_status,s8_objective_reduction_percent,93.4378074043643,Relative to frozen direct-PERFORM S7 dispatch
operational_status,s8_mean_abs_residual_mw,19.4948001389454,Across seven interfaces and six scenarios
operational_status,s8_worst_residual_mw,416.002007589673,West-Central in shoulder scenario
operational_status,s8_max_reference_adjustment_mw,0.0982659546207287,Distributed loss closure
operational_status,s8_q_enforced_pf_success,5 / 6,Shoulder scenario still fails
operational_status,s8_min_voltage_pu,0.85457007033278,Shoulder scenario
operational_status,s8_max_voltage_pu,1.10845722340888,Winter scenario
operational_status,s8_max_branch_overload_mva,170.242652317838,Niagara West-Huntley
operational_status,s8_max_q_limit_violation_mvar,1189.18011813479,CE UG in shoulder scenario
operational_status,s8_acceptance,diagnostic only,Direct-PERFORM S7 network remains structural baseline
capability_status,s8_1_shoulder_cap_0p8_minimum_eta,2.70130413848751,Inherited A/B/C envelope is incompatible with the 150 MW reporting bands
capability_status,s8_1_shoulder_cap_0p8_minimum_relaxation_mw,272.579926012896,Minimum aggregate A/B/C relaxation for eta less than or equal to 1
capability_status,s8_1_shoulder_cap_0p9_minimum_eta,1.57415631955044,Still incompatible in the saved AC linearization
capability_status,s8_1_shoulder_cap_1p0_minimum_eta,0.993729578315577,Linearly compatible but not nonlinearly acceptable
capability_status,s8_1_cap_1p0_nonlinear_min_voltage_pu,0.86538,Strict nonlinear AC recheck
capability_status,s8_1_cap_1p0_nonlinear_max_q_violation_mvar,998.76,Q-limit PF fails
capability_status,scenario_specific_availability,not run,No independent hour-specific 2025 availability or commitment input
reactive_status,s9a_free_voltage_temporary_q_mvar,0,PERFORM-scaled Q envelope with opf.use_vg = 0
reactive_status,s9a_s1_reference_weight_0p80_temporary_q_mvar,36.0686,Current VG fields are primarily S1 OPF-solved voltage references
reactive_status,s9a_s1_reference_weight_0p85_temporary_q_mvar,227.83965,AK-3 and Huntley
reactive_status,s9a_s1_reference_weight_0p90_temporary_q_mvar,833.2683,Huntley; AK-3; Binghamton
reactive_status,s9a_full_s1_reference,not demonstrated,IPOPT exception and MIPS nonconvergence are not infeasibility certificates
reactive_status,s9a_interpretation,voltage-control inconsistency,Zero temporary internal Q is conditional on free voltage and boundary Q flexibility
restoration_status,s9b_method,MATPOWER AC soft-limit feasibility restoration,AC balance and active-power bounds remain hard
restoration_status,s9b_default_cases_solved,27 / 27,Three boundary-Q modes by nine S1 numerical-reference weights
restoration_status,s9b_hard_first_attempt,enabled,Soft restoration is invoked only after unsuccessful hard ACOPF
restoration_status,s9b_opf_start,2,Uses current MATPOWER case state for actual warm continuation
restoration_status,s9b_refined_reference_cases_solved,182 / 182,Bidirectional warm; cold; perturbed; four reference sets
restoration_status,s9b_s1_highest_hard_feasible_weight,0.8075,Consistent across tested directions starts and boundary-Q modes
restoration_status,s9b_s1_first_nonzero_restoration_weight,0.8100,CE UG upper reference-derived bound by 0.00002727 pu
restoration_status,s9b_original_npcc_coarse_bracket,0.75 to 0.80,Reference-dependent diagnostic
restoration_status,s9b_perform_aggregate_coarse_bracket,0.90 to 1.00,Provisional zonal mapping; RAW VS and IREG controls extracted but not preserved device-by-device
voltage_control,perform_raw_generator_section_records,649,PSS/E RAW rev33 generator-section records with VS and IREG
voltage_control,perform_online_nyiso_generator_section_controls,417,Online A-K records at 179 source buses; not all are conventional generators
voltage_control,perform_online_reactive_only_qs_records,34,Zero P capability with nonzero Q range; classify as reactive control devices
voltage_control,perform_online_positive_active_capability_records,381,Positive PMAX among online A-K RAW generator-section records
voltage_control,perform_online_fixed_negative_active_records,2,Boundary/import-equivalent behavior rather than native generation
voltage_control,perform_converted_non_qs_mapping_records,615,One-to-one source-bus plus generator-ID mapping to converted gen and genfuel rows
voltage_control,perform_raw_converted_status_mismatches,6,RAW STAT differs from converted MATPOWER GEN_STATUS; both values retained
voltage_control,perform_effective_online_nyiso_controls,411,377 converted-online non-QS records plus 34 online reactive-only QS records
voltage_control,perform_online_remote_regulation_records,1,Source remote pilot retained through Ward effective-impedance mapping in S10a
voltage_control,s9b_s1_original_requested_applied_reference_buses,20 / 20,No PQ rows skipped
voltage_control,s9b_s7_perform_requested_applied_reference_buses,30 / 20,Ten PQ rows skipped: 37|38|39|41|43|44|73|76|81|9003
restoration_status,s9b_s1_full_reference_q_slack_range_mvar,133.73 to 170.41,Depends on external boundary-Q mode
restoration_status,s9b_s1_full_reference_voltage_slack_range_pu,0.07692 to 0.08652,Aggregate VMIN plus VMAX slack
restoration_status,s9b_branch_slack_mva,0,No branch restoration slack in the 27-run default study or 182-run reference audit
restoration_status,s9b_max_ac_balance_component_residual_mw_or_mvar,0.001067249,Maximum absolute real or reactive nodal-balance component across 182 solves
restoration_status,s9b_max_complex_power_mismatch_mva,0.001069396,Maximum complex nodal-power mismatch magnitude across 182 solves
restoration_status,s9b_solver_exceptions,0,All 182 final solves returned IPOPT status 0
restoration_status,s9b_acceptance,diagnostic only,Threshold and slack decomposition depend on voltage-reference provenance and restoration metric
control_reduction,s10a_status,diagnostic only,S7 remains the structural reference case
control_reduction,s10a_source_case,PERFORM nyiso_On_Peak_v23_shunts_as_z_load,2019 on-peak source snapshot
control_reduction,s10a_reduced_case,npcc_ny_lite_s10a_perform_control_mapped_2019,Control-preserving same-snapshot diagnostic
control_reduction,s10a_similarity_scale_gamma,0.365850476102748,Scales 29799.66 MW PERFORM A-K load to 10902.2197987 MW NPCC-NY load
control_reduction,s10a_reduced_case_size,49 buses / 81 branches / 47 generators,NY-only control-mapped diagnostic case
control_reduction,s10a_source_reduced_q_limit_pf_success,1 / 1,Source and reduced 2019 snapshots both converge with Q limits enforced
control_reduction,s10a_primary_boundary_q_mode,fixed_source_q,Preserves similarity-scaled source boundary Q schedule
control_reduction,s10a_voltage_rmse_pu,0.00383978059581981,Passes 0.01 pu first-stage target
control_reduction,s10a_voltage_max_error_pu,0.015683959440792,Passes 0.03 pu first-stage target
control_reduction,s10a_interface_mae_mw,224.953860111484,Fails 100 MW first-stage target
control_reduction,s10a_interface_max_error_mw,559.567239141561,Dunwoodie South conceptual operator
control_reduction,s10a_mean_normalized_control_group_q_error,0.18701478506837,Fails 0.10 first-stage target
control_reduction,s10a_source_reduced_active_losses_mw,228.999671521713 / 103.7201375075,Similarity-scaled full source versus reduced case
control_reduction,s10a_reference_generation_adjustment_mw,-125.279534014203,Reference absorbs reduced-versus-source loss difference
control_reduction,s10a_fixed_boundary_q_error_mvar,3.5527136788005e-15,Fixed-source-Q primary benchmark
control_reduction,s10a_limited_boundary_q_movement_mvar,1845.42689616869,Shows strong dependence on discretionary boundary Q
control_reduction,s10a_physical_violation_counts,0 V / 0 Q / 0 branch,Primary reduced PF result
control_reduction,s10a_pq_reference_audit,7 source-backed PV candidates / 3 pending,All ten enabled only in the S10a diagnostic
control_reduction,s10a_interface_operator_status,partial,Five zone-pair proxies and two conceptual mappings; exact monitored-element operators remain pending
